cod_modelo_color,des_agrup_color_eng,des_sex,des_age,des_product_category,des_product_type
53003725-99,GREY,Female,Adult,Tops,Sweater
53053040-99,GREY,Female,Adult,Tops,T-Shirt
53090974-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53060987-02,WHITE,Female,Adult,Tops,Top
53063750-01,WHITE,Female,Adult,Tops,Blouse
53063755-TU,GREY,Female,Adult,Bottoms,Jeans
53015744-09,WHITE,Female,Adult,Tops,Sweater
51015740-02,WHITE,Female,Adult,Tops,Shirt
53085778-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53005773-96,GREY,Female,Adult,Tops,Sweater
57097878-43,GREEN,Female,Adult,Tops,Blouse
57019206-81,PINK,Female,Adult,Tops,Sweater
57067887-99,GREY,Female,Adult,Tops,T-Shirt
57007710-99,GREY,Female,Adult,Tops,Sweater
57059203-85,PINK,Female,Adult,Tops,Sweater
57007709-99,GREY,Female,Adult,Tops,Sweater
57057700-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
47010422-99,GREY,Female,Adult,Tops,Shirt
47091297-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57090027-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Umbrella
57050034-52,BLUE,Female,Adult,Tops,Top
57022001-17,YELLOW,Female,Adult,Bottoms,Shorts
57002518-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Citybag
57020256-88,PINK,Female,Adult,Tops,Top
57020151-07,WHITE,Female,Adult,Bottoms,Shorts
57000374-99,GREY,Female,Adult,Bottoms,Shorts
57072516-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
47028651-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Bikini_Top
57094012-91,GREY,Female,Adult,Outerwear,Vest
57092003-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Wallet
57054422-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Shoulder_bag
57001067-02,WHITE,Female,Adult,Tops,T-Shirt
57023275-98,GREY,Female,Adult,Beauty,Bodymist
57078266-TM,BLUE,Female,Adult,Bottoms,Skirt
57007734-08,WHITE,Female,Adult,Tops,Sweater
57007739-09,WHITE,Female,Adult,Tops,Sweater
57073821-70,RED,Female,Adult,Tops,Top
57057740-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Beanie
57096029-99,GREY,Female,Adult,Outerwear,Coat
53030594-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53000588-TC,BLUE,Female,Adult,Bottoms,Jeans
53030547-TM,BLUE,Female,Adult,Bottoms,Shorts
53090804-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
53023714-99,GREY,Female,Adult,Tops,Sweater
53050881-17,YELLOW,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53083040-08,WHITE,Female,Adult,Tops,Cardigan
53050906-99,GREY,Female,Adult,Bottoms,Trousers
53095015-43,GREEN,Female,Adult,Tops,Sweater
53013754-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Glasses
51055745-TO,BLUE,Female,Adult,Tops,Shirt
51015766-92,GREY,Female,Adult,Bottoms,Trousers
57044377-99,GREY,Female,Adult,Outerwear,Trenchcoat
57067883-99,GREY,Female,Adult,Tops,Blouse
57044755-80,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57045938-02,WHITE,Female,Adult,Tops,T-Shirt
57049203-17,YELLOW,Female,Adult,Tops,Cardigan
57097696-37,BROWN,Female,Adult,Bottoms,Skirt
37010684-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Sandals
47095844-02,WHITE,Female,Adult,Bottoms,Skirt
47037825-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57050037-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Belt
57010726-88,PINK,Female,Adult,Tops,Blouse
47087132-08,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57041028-83,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57040305-01,WHITE,Female,Adult,Bottoms,Jeans
57050382-46,BLUE,Female,Adult,Tops,Top
57015144-TN,GREY,Female,Adult,Bottoms,Jeans
57010481-20,ORANGE,Female,Adult,Tops,T-Shirt
57065788-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
57050453-15,YELLOW,Female,Adult,Tops,Top
57094414-94,GREY,Female,Adult,Tops,T-Shirt
57005974-TO,BLUE,Female,Adult,Bottoms,Jeans
57055983-99,GREY,Female,Adult,Tops,Shirt
57091502-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57094431-DI,BLUE,Female,Adult,Bottoms,Jeans
57007771-03,WHITE,Female,Adult,Tops,Sweater
57075812-85,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57047760-56,BLUE,Female,Adult,Outerwear,Coat
57028280-52,BLUE,Female,Adult,Tops,T-Shirt
43040692-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
53070611-02,WHITE,Female,Adult,Tops,Blouse
53030677-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Glasses
51060677-08,WHITE,Female,Adult,Bottoms,Skirt
53060722-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Sandals
53079062-05,WHITE,Female,Adult,Outerwear,Puffer_coat
53080880-37,BROWN,Female,Adult,Bottoms,Trousers
43077046-05,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
51003746-85,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53093047-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
53091077-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Shoes
53041096-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
53065024-30,BROWN,Female,Adult,Bottoms,Skirt
51015740-99,GREY,Female,Adult,Tops,Shirt
57007697-09,WHITE,Female,Adult,Tops,Sweater
57007109-92,GREY,Female,Adult,Tops,Sweater
57015926-45,GREEN,Female,Adult,Tops,Sweater
57019209-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51083792-15,YELLOW,Female,Adult,Bottoms,Trousers
57007902-07,WHITE,Female,Adult,Tops,T-Shirt
57027698-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53035770-56,BLUE,Female,Adult,Tops,T-Shirt
57027893-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57029604-56,BLUE,Female,Adult,Outerwear,Blazer
67010585-09,WHITE,Female,Adult,Tops,Sweater
47074023-01,WHITE,Female,Adult,Tops,T-Shirt
47009026-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Bikini pantie
57050259-56,BLUE,Female,Adult,Tops,Sweater
57013778-88,PINK,Female,Adult,Tops,Shirt
57044397-50,BLUE,Female,Adult,Outerwear,Blazer
57000428-01,WHITE,Female,Adult,Tops,Blouse
57000451-07,WHITE,Female,Adult,Bottoms,Skirt
57006720-56,BLUE,Female,Adult,Outerwear,Coat
57074012-07,WHITE,Female,Adult,Tops,Blouse
57001096-02,WHITE,Female,Adult,Bottoms,Trousers
57023811-52,BLUE,Female,Adult,Tops,Sweater
57045972-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57078265-99,GREY,Female,Adult,Outerwear,Outer vest
57025980-99,GREY,Female,Adult,Outerwear,Blazer
57015982-78,RED,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57057717-OR,WHITE,Female,Adult,Outerwear,Jacket
57006011-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57027741-20,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Scarf
67040288-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
43035742-01,WHITE,Male,Adult,Tops,Shirt
43045777-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Bikini_Top
43027025-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
53070584-02,WHITE,Female,Adult,Bottoms,Trousers
53020606-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53070520-52,BLUE,Female,Adult,Bottoms,Shorts
53020866-13,YELLOW,Female,Adult,Tops,Top
53063714-06,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53080913-02,WHITE,Female,Adult,Bottoms,Skirt
53070860-05,WHITE,Female,Adult,Tops,Sweater
53045028-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
51093789-30,BROWN,Female,Adult,Outerwear,Coat
53075778-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57035904-02,WHITE,Female,Adult,Tops,Shirt
57955903-43,GREEN,Female,Adult,Accesories_Swim_and_Intimate,Ankle_boots
53005032-TN,GREY,Female,Adult,Bottoms,Jeans
57075941-96,GREY,Female,Adult,Tops,Sweater
57007900-99,GREY,Female,Adult,Tops,T-Shirt
57017901-05,WHITE,Female,Adult,Tops,Sweater
47024024-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
47093770-TM,BLUE,Female,Adult,Outerwear,Vest
47037839-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Earrings
47037128-08,WHITE,Female,Adult,Bottoms,Skirt
57082001-99,GREY,Female,Adult,Tops,T-Shirt
57040780-81,PINK,Female,Adult,Bottoms,Trousers
47038650-06,WHITE,Female,Adult,Tops,T-Shirt
57002891-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57012898-TM,BLUE,Female,Adult,Bottoms,Jeans
57034017-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
57041115-85,PINK,Female,Adult,Tops,Top
57043803-99,GREY,Female,Adult,Bottoms,Trousers
57093811-05,WHITE,Female,Adult,Tops,Blouse
57045800-94,GREY,Female,Adult,Tops,Cardigan
57057752-09,WHITE,Female,Adult,Outerwear,Jacket
57088634-85,PINK,Female,Adult,Tops,Top
57009098-99,GREY,Female,Adult,Tops,Sweater
41085754-09,WHITE,Female,Adult,Outerwear,Trenchcoat
41085019-02,WHITE,Female,Adult,Tops,Shirt
53070609-02,WHITE,Female,Adult,Tops,Top
53010608-50,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53063706-56,BLUE,Female,Adult,Bottoms,Shorts
53015714-96,GREY,Female,Adult,Outerwear,Coat
53053710-99,GREY,Female,Adult,Tops,Blouse
53083715-05,WHITE,Female,Adult,Bottoms,Skirt
53040970-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53095748-92,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53063785-15,YELLOW,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53095735-PL,GREY,Female,Adult,Tops,Top
53085022-20,ORANGE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53095773-08,WHITE,Female,Adult,Bottoms,Skirt
57047884-02,WHITE,Female,Adult,Tops,Blouse
57004005-15,YELLOW,Female,Adult,Bottoms,Trousers
57034384-99,GREY,Female,Adult,Tops,Blouse
57019205-99,GREY,Female,Adult,Bottoms,Trousers
57004393-99,GREY,Female,Adult,Tops,T-Shirt
57069208-99,GREY,Female,Adult,Bottoms,Trousers
57047699-37,BROWN,Female,Adult,Bottoms,Trousers
47082880-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Totes bag
47015855-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
47075862-68,PURPLE,Female,Adult,Accesories_Swim_and_Intimate,Wallet
57010046-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57010601-82,PINK,Female,Adult,Accesories_Swim_and_Intimate,Sunglasses
57050176-99,GREY,Female,Adult,Bottoms,Trousers
57050250-30,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57050273-43,GREEN,Female,Adult,Tops,Top
57010756-08,WHITE,Female,Adult,Bottoms,Skirt
57010293-05,WHITE,Female,Adult,Outerwear,Jacket
57010241-01,WHITE,Female,Adult,Tops,Shirt
57032883-46,BLUE,Female,Adult,Bottoms,Skirt
57040365-69,BLUE,Female,Adult,Outerwear,Blazer
57025956-37,BROWN,Female,Adult,Tops,T-Shirt
57032890-46,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57053800-99,GREY,Female,Adult,Bottoms,Leggings
57034774-50,BLUE,Female,Adult,Tops,Shirt
57081176-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57074434-08,WHITE,Female,Adult,Bottoms,Trousers
57047745-85,PINK,Female,Adult,Tops,T-Shirt
57056022-99,GREY,Female,Adult,Outerwear,Jacket
57089098-99,GREY,Female,Adult,Outerwear,Jacket
57078273-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57078635-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoulder_bag
57019102-99,GREY,Female,Adult,Tops,Top
43035022-23,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53040611-37,BROWN,Female,Adult,Bottoms,Shorts
53030613-05,WHITE,Female,Adult,Tops,Top
53020667-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Glasses
53043026-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
51030736-70,RED,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
43089077-01,WHITE,Female,Adult,Tops,Top
51043728-56,BLUE,Female,Adult,Outerwear,Blazer
53003738-28,ORANGE,Female,Adult,Tops,Sweater
51090925-15,YELLOW,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51030979-07,WHITE,Female,Adult,Tops,Blouse
51031021-68,PURPLE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53033766-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
51053786-52,BLUE,Female,Adult,Outerwear,Blazer
53083787-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
51055033-79,RED,Female,Adult,Outerwear,Coat
53075772-76,RED,Female,Adult,Bottoms,Trousers
57075129-76,RED,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57077650-91,GREY,Female,Adult,Tops,Cardigan
51023794-09,WHITE,Female,Adult,Bottoms,Trousers
57059604-01,WHITE,Female,Adult,Tops,Sweater
47042516-08,WHITE,Unisex,Adult,Home,Basket
47067110-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Belt
47055866-02,WHITE,Female,Adult,Tops,Shirt
57000256-88,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57010731-99,GREY,Female,Adult,Bottoms,Trousers
57050158-TN,GREY,Female,Adult,Bottoms,Shorts
57040282-07,WHITE,Female,Adult,Bottoms,Shorts
57040277-35,BROWN,Female,Adult,Bottoms,Trousers
57040780-40,GREEN,Female,Adult,Bottoms,Trousers
57065135-08,WHITE,Female,Adult,Outerwear,Jacket
57000405-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57002886-88,PINK,Female,Adult,Bottoms,Shorts
57074401-56,BLUE,Female,Adult,Tops,T-Shirt
57063800-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57024403-37,BROWN,Female,Adult,Bottoms,Jeans
57092893-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57064030-99,GREY,Female,Adult,Tops,Top
57004047-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57004782-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57061178-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57095804-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
57055810-05,WHITE,Female,Adult,Tops,T-Shirt
57029095-99,GREY,Female,Adult,Bottoms,Trousers
57069100-43,GREEN,Female,Adult,Bottoms,Trousers
41025020-02,WHITE,Female,Adult,Outerwear,Trenchcoat
51060587-08,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51050592-08,WHITE,Female,Adult,Tops,Top
53020606-92,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53060624-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Cosmetic_bag
53040541-TN,GREY,Female,Adult,Outerwear,Jacket
41095829-02,WHITE,Female,Adult,Bottoms,Trousers
53070640-85,PINK,Female,Adult,Tops,Cardigan
53055707-99,GREY,Female,Adult,Outerwear,Coat
53030653-56,BLUE,Female,Adult,Tops,T-Shirt
53090718-57,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
53045710-34,BROWN,Female,Adult,Outerwear,Puffer_coat
53000790-02,WHITE,Female,Adult,Tops,Top
53050905-37,BROWN,Female,Adult,Tops,Blouse
51085730-99,GREY,Female,Adult,Outerwear,Coat
53033750-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Glasses
51023052-70,RED,Female,Adult,Tops,Top
53031101-07,WHITE,Female,Adult,Tops,T-Shirt
53075750-14,YELLOW,Female,Adult,Bottoms,Skirt
51053787-20,ORANGE,Female,Adult,Outerwear,Jacket
57095902-33,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57017689-99,GREY,Female,Adult,Bottoms,Trousers
67080516-17,YELLOW,Female,Adult,Tops,Cardigan
57017892-92,GREY,Female,Adult,Tops,Sweater
57009081-OR,WHITE,Female,Adult,Tops,Sweater
47034012-02,WHITE,Female,Adult,Tops,Shirt
47065916-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sunglasses
57082505-99,GREY,Female,Adult,Bottoms,Trousers
57062504-01,WHITE,Female,Adult,Tops,T-Shirt
57055786-56,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Beanie
57010465-01,WHITE,Female,Adult,Tops,T-Shirt
57092880-01,WHITE,Female,Adult,Tops,T-Shirt
57053797-92,GREY,Female,Adult,Tops,Top
57080977-52,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57063799-65,PURPLE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57033803-99,GREY,Female,Adult,Bottoms,Leggings
57052893-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57063803-02,WHITE,Female,Adult,Tops,Shirt
57023810-02,WHITE,Female,Adult,Tops,Blouse
57096308-43,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57065966-05,WHITE,Female,Adult,Bottoms,Skirt
57021176-99,GREY,Female,Adult,Bottoms,Trousers
57015793-09,WHITE,Female,Adult,Tops,Shirt
57015795-90,GREY,Female,Adult,Tops,Sweater
57035980-68,PURPLE,Female,Adult,Outerwear,Jacket
57023820-05,WHITE,Female,Adult,Tops,Sweater
57014435-44,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57046017-92,GREY,Female,Adult,Bottoms,Trousers
57028274-01,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Totes bag
57065812-43,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57029103-88,PINK,Female,Adult,Tops,Sweater
57099117-99,GREY,Female,Adult,Tops,Shirt
53030717-02,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
53000887-56,BLUE,Female,Adult,Tops,T-Shirt
53003729-05,WHITE,Female,Adult,Tops,Sweater
53075713-94,GREY,Female,Adult,Tops,Sweater
53050926-99,GREY,Female,Adult,Bottoms,Skirt
53003773-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
51093755-99,GREY,Female,Adult,Bottoms,Skirt
57027877-70,RED,Female,Adult,Accesories_Swim_and_Intimate,Scarf
57035910-43,GREEN,Female,Adult,Tops,T-Shirt
57045929-16,YELLOW,Female,Adult,Tops,T-Shirt
57047660-99,GREY,Female,Adult,Bottoms,Trousers
57035785-99,GREY,Female,Adult,Tops,T-Shirt
57015951-30,BROWN,Female,Adult,Tops,T-Shirt
57015952-08,WHITE,Female,Adult,Tops,T-Shirt
57049085-99,GREY,Female,Adult,Tops,Sweater
47097833-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Ring
57067702-02,WHITE,Female,Adult,Outerwear,Puffer_coat
57055949-99,GREY,Female,Adult,Outerwear,Puffer_coat
57083261-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57093800-34,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
57053811-01,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57064772-01,WHITE,Female,Adult,Tops,Shirt
57035798-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57015806-81,PINK,Female,Adult,Tops,Sweater
57084424-06,WHITE,Female,Adult,Tops,Sweater
57085984-91,GREY,Female,Adult,Tops,T-Shirt
57086311-94,GREY,Female,Adult,Tops,Sweater
57067733-35,BROWN,Female,Adult,Outerwear,Jacket
57007752-99,GREY,Female,Adult,Tops,Sweater
57089093-99,GREY,Female,Adult,Bottoms,Trousers
57086028-85,PINK,Female,Adult,Tops,Shirt
57007775-70,RED,Female,Adult,Tops,Sweater
57059099-PL,GREY,Female,Adult,Tops,Top
43013748-09,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53090600-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53050718-62,PURPLE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
53020686-TN,GREY,Female,Adult,Bottoms,Jeans
53073042-28,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Sandals
53080975-08,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53071046-28,ORANGE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53015736-99,GREY,Female,Adult,Tops,Blouse
53021097-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
53003784-02,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Scarf
51091106-20,ORANGE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57006714-82,PINK,Female,Adult,Tops,Sweater
57087691-TM,BLUE,Female,Adult,Tops,Shirt
57049212-PL,GREY,Female,Adult,Tops,T-Shirt
57097888-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
57019219-OR,WHITE,Female,Adult,Tops,T-Shirt
47034001-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sunglasses
47005859-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
47073770-TN,GREY,Female,Adult,Bottoms,Jeans
57020037-01,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Shoes
47085961-05,WHITE,Female,Adult,Bottoms,Trousers
57020215-88,PINK,Female,Adult,Tops,Shirt
57094389-77,RED,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57040451-01,WHITE,Female,Adult,Bottoms,Jeans
57022896-TN,GREY,Female,Adult,Bottoms,Jeans
57023809-02,WHITE,Female,Adult,Tops,Blouse
57050481-52,BLUE,Female,Adult,Tops,Top
57083807-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57094028-92,GREY,Female,Adult,Tops,Poloshirt
57004435-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57085982-TM,BLUE,Female,Adult,Bottoms,Jeans
57015987-30,BROWN,Female,Adult,Bottoms,Skirt
57047709-05,WHITE,Female,Adult,Bottoms,Jeans
57097724-PL,GREY,Female,Adult,Tops,Top
57043818-37,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57057734-43,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57057735-92,GREY,Female,Adult,Accesories_Swim_and_Intimate,Pyjama
57077749-DI,BLUE,Female,Adult,Bottoms,Jeans
57087123-04,WHITE,Female,Adult,Bottoms,Leggings
67000456-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
41017020-08,WHITE,Female,Adult,Bottoms,Trousers
43097754-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Necklace
53070530-07,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Belt
53080586-02,WHITE,Female,Adult,Tops,Blouse
51020639-37,BROWN,Female,Adult,Tops,Top
53060649-70,RED,Female,Adult,Tops,Blouse
43077801-05,WHITE,Female,Adult,Tops,Sweater
53020797-85,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53030840-50,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53030663-15,YELLOW,Female,Adult,Tops,T-Shirt
53003720-14,YELLOW,Female,Adult,Tops,Sweater
51053043-85,PINK,Female,Adult,Tops,Blouse
53081016-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Glasses
53063757-50,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Shoes
53047671-06,WHITE,Female,Adult,Outerwear,Coat
51025015-99,GREY,Female,Adult,Bottoms,Skirt
51001003-02,WHITE,Female,Adult,Bottoms,Trousers
